Id,Title,Artist
d27gTrPPAyk,Englishman in New York,Sting
mbAyj1h9vI0,Stray Cat Strut,Stray Cats
K8IK50DO9dI,Breakfast in America,Supertramp
ZQNQg31NbFI,Give a Little Bit,Supertramp
pJPMesAnsU8,Goodbye Stranger,Superteramp
EIxsPBbZ_b8,In the Army Now,Status Quo
x67jtMPfdTw,Fat Girl,Steel Panther
r6jIXtJy4oM,Eye of the Panther,Steel Panther
rMbATaj7Il8,Born to be Wild,Steppenwolf
U4WiyxXpyZc,Magic Carpet Ride,Steppenwolf
3XqyGoE2Q4Y,The Pusher,Steppenwolf
V5YOhcAof8I,The Trip,Still Corners
G6Vw9RGm1tM,I Want Candy,The Strangeloves
O52jAYa4Pm8,Psycho Killer,Talking Heads
tyW5g9DtuU0,Emerald,Thin Lizzy
gqSzDJGFCgI,Bad Reputation,Thin Lizzy
6fQuEqwQ2I4,Battle Without Honor or Humanity,Tomoyasu hotei
yMMz2VwbhVI,Schism,Tool
Tja6_h4lT6A,Forty Six & 2,Tool
_tcW-j7KFgY,Lateralus,Tool
K2O9ryz7Eik,Rosanna,Toto
8mkmUdUYgH0,Hold the Line,Toto
QecyUEvvKmM,Till the End,Toto
WfD8Dnh2xho,Antisocial,Trust
9ZEURntrQOg,Happy Together,The Turtles
CQ0ftoiIQxU,We're not Gonna Take It,Twisted Sister
Yj9Rm92ioTI,I Wanna Rock,Twisted Sister
FIAWuIcyZ3M,Argent Trop Cher,Téléphone
OGNhncQLQJA,Ça,Téléphone
6xcwt9mSbYE,Heroin,The Velvet Underground
KisHhIRihMY,Pale Blue Eyes,The Velvet Underground
rwo0gpa6MJY,Oh! Sweet Nuthin',The Velvet Underground
_wFMY0r7X-w,Daydream,Wallace Collection
ENXvZ9YRjbo,Say it Ain't So,Weezer
4AKbUm8GrbM,Pinball Wizard,The Who
SHhrZgojY1Q,Won't Get Fooled Again,The Who
dMrImMedYRo,Behind Blue Eyes,The Who
7CAYFIpi89k,How to fight Loneliness,Wilco
sifqGTzLGck,I'll Fight,Wilco
efq95Pfqt5U,Jesus etc.,Wilco
_pHT9yYFdZg,Play that funky Music,Wild Cherry
SmpelduRY3I,Periodically Double or Triple,Yo la Tengo
YxWLVRlGa10,Gasoline Man,The Young Gods
k4VFFBCa5Aw,Gimme All Youl Lovin',ZZ Top
Vppbdf-qtGU,La Grange,ZZ Top
Pn2-b_opVTo,Sharp Dressed Man,ZZ Top
